dispute_id,description,category,description_length,word_count,dispute_number,dispute_bin
D001,I got charged twice for the same UPI payment,DUPLICATE_CHARGE,44,9,1,"(-1.049, 205.9]"
D002,My NEFT failed but money is not refunded,FAILED_TRANSACTION,40,8,2,"(-1.049, 205.9]"
D003,Transaction shows failed but money was debited,FAILED_TRANSACTION,46,7,3,"(-1.049, 205.9]"
D004,I did not make this payment. This is fraud.,FRAUD,43,9,4,"(-1.049, 205.9]"
D005,Still waiting for refund after canceled transaction,REFUND_PENDING,51,7,5,"(-1.049, 205.9]"
D006,Duplicate charge for the same merchant within minutes,DUPLICATE_CHARGE,53,8,6,"(-1.049, 205.9]"
D007,UPI transfer failed but account is debited,FAILED_TRANSACTION,42,7,7,"(-1.049, 205.9]"
D008,NEFT credited to wrong beneficiary per my statement,OTHERS,51,8,8,"(-1.049, 205.9]"
D009,Chargeback requested as I don't recognize this card txn,FRAUD,55,9,9,"(-1.049, 205.9]"
D010,Refund pending for a week after failed POS swipe,REFUND_PENDING,48,9,10,"(-1.049, 205.9]"
D011,Got two UPI debit messages for one QR scan,DUPLICATE_CHARGE,42,9,11,"(-1.049, 205.9]"
D012,"Payment stuck in pending, not sure if merchant got it",FAILED_TRANSACTION,53,10,12,"(-1.049, 205.9]"
D013,EMI card was charged twice this month,DUPLICATE_CHARGE,37,7,13,"(-1.049, 205.9]"
D014,My NEFT is showing processed but beneficiary says not received,OTHERS,62,10,14,"(-1.049, 205.9]"
D015,Got debited after payment failed on gateway,FAILED_TRANSACTION,43,7,15,"(-1.049, 205.9]"
D016,This transaction looks suspicious. I didn't authorize it,FRAUD,56,8,16,"(-1.049, 205.9]"
D017,Refund for canceled order not received,REFUND_PENDING,38,6,17,"(-1.049, 205.9]"
D018,"Duplicate UPI transfer to same VPA, minutes apart",DUPLICATE_CHARGE,49,8,18,"(-1.049, 205.9]"
D019,NEFT failed but amount not reversed yet,FAILED_TRANSACTION,39,7,19,"(-1.049, 205.9]"
D020,Card charged twice at petrol pump,DUPLICATE_CHARGE,33,6,20,"(-1.049, 205.9]"
D021,I did not authorize this transaction. It's a clear case of fraud.,FRAUD,65,12,21,"(-1.049, 205.9]"
D022,"My card was stolen, and this fraudulent charge appeared moments later.",FRAUD,70,11,22,"(-1.049, 205.9]"
D023,I don't recognize this merchant at all. Please reverse this fraudulent charge.,FRAUD,78,12,23,"(-1.049, 205.9]"
D024,This is a fraudulent transaction. I was in possession of my card at all times.,FRAUD,78,15,24,"(-1.049, 205.9]"
D025,"My account was hacked, and this payment was made without my knowledge.",FRAUD,70,12,25,"(-1.049, 205.9]"
D026,Unauthorized international transaction on my card while I'm in the country.,FRAUD,75,11,26,"(-1.049, 205.9]"
D027,"I lost my wallet yesterday, and now I see this charge. It is not mine.",FRAUD,70,15,27,"(-1.049, 205.9]"
D028,This transaction was made after I reported my card as lost and it was blocked.,FRAUD,78,15,28,"(-1.049, 205.9]"
D029,"I have never purchased anything from this website, this is a fraudulent payment.",FRAUD,80,13,29,"(-1.049, 205.9]"
D030,This is a fraudulent charge. I want to block my card immediately.,FRAUD,65,12,30,"(-1.049, 205.9]"
D031,Someone used my card details online without my permission.,FRAUD,58,9,31,"(-1.049, 205.9]"
D032,I received an SMS alert for a transaction I did not make.,FRAUD,57,12,32,"(-1.049, 205.9]"
D033,This payment was made in a different country while I am at home.,FRAUD,64,13,33,"(-1.049, 205.9]"
D034,I suspect my card has been cloned. This is not my transaction.,FRAUD,62,12,34,"(-1.049, 205.9]"
D035,I have been a victim of a phishing attack. Please investigate this charge.,FRAUD,74,13,35,"(-1.049, 205.9]"
D036,A fraudulent subscription has been set up using my card without my consent.,FRAUD,75,13,36,"(-1.049, 205.9]"
D037,"I never shared my OTP with anyone, yet this fraudulent transaction went through.",FRAUD,80,13,37,"(-1.049, 205.9]"
D038,This looks like a case of identity theft. I did not make this payment.,FRAUD,70,14,38,"(-1.049, 205.9]"
D039,The merchant listed is completely unknown to me. This has to be fraud.,FRAUD,70,13,39,"(-1.049, 205.9]"
D040,I was not even in that city on the date of the transaction. Clear fraud.,FRAUD,72,15,40,"(-1.049, 205.9]"
D041,"My card details were compromised from a data breach, leading to this transaction.",FRAUD,81,13,41,"(-1.049, 205.9]"
D042,This is a suspicious transaction from a website I've never visited.,FRAUD,67,11,42,"(-1.049, 205.9]"
D043,I did not receive any product or service for this payment. It is fraud.,FRAUD,71,14,43,"(-1.049, 205.9]"
D044,"This is a clear fraud, please initiate an immediate chargeback.",FRAUD,63,10,44,"(-1.049, 205.9]"
D045,My card was used at an ATM 500 miles away from my current location.,FRAUD,67,14,45,"(-1.049, 205.9]"
D046,I have reason to believe my card information was skimmed at a gas station.,FRAUD,74,14,46,"(-1.049, 205.9]"
